,composer,work,theatre,city,date
1891,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-03
1892,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-03
1893,Leoš  Janácek,The Cunning Little Vixen ,Theatre Royal Plymouth,Plymouth,2002-07-04
1894,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-07-04
1895,Wolfgang Amadeus Mozart,Così fan tutte K588,The London Coliseum,London,2002-07-04
1896,Francesco  Cavalli,Erismena ,St Sepulchre-without-Newgate,London,2002-07-04
1897,Giacomo Puccini,I Pagliacci ,Opera Holland Park Theatre,London,2002-07-04
1898,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-04
1899,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-04
1900,Giuseppe Verdi,Rigoletto ,Theatre Royal Plymouth,Plymouth,2002-07-05
1901,Giuseppe Verdi,Macbeth ,Royal Opera House Covent Garden,London,2002-07-05
1902,Christoph Willibald Gluck,Iphigénie en Aulide ,Glyndebourne Opera House,Lewes,2002-07-05
1903,George Frideric Handel,Alcina HWV34,Wigmore Hall,London,2002-07-05
1904,Henry Purcell,The Fairy Queen Z629,The London Coliseum,London,2002-07-05
1905,Francesco  Cavalli,Erismena ,St Sepulchre-without-Newgate,London,2002-07-05
1906,Giacomo Puccini,I Pagliacci ,Opera Holland Park Theatre,London,2002-07-05
1907,Wolfgang Amadeus Mozart,Don Giovanni K 527,Garsington Manor,"Garsington, Oxford",2002-07-05
1908,Giuseppe Verdi,La Traviata ,The Grange,"Northington, Alresford",2002-07-05
1909,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-05
1910,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Longborough Festival Opera House,Moreton-in-Marsh,2002-07-05
1911,Giacomo Puccini,Madama Butterfly ,Theatre Royal Plymouth,Plymouth,2002-07-06
1912,Wolfgang Amadeus Mozart,Don Giovanni K 527,Glyndebourne Opera House,Lewes,2002-07-06
1913,Giuseppe Verdi,Simon Boccanegra ,Royal Opera House Covent Garden,London,2002-07-06
1914,Stephen Sondheim,"Sweeney Todd, the Demon Barber of Fleet Street ",Theatre Royal,Newcastle upon Tyne,2002-07-06
1915,Mark-Anthony Turnage,The Silver Tassie ,The London Coliseum,London,2002-07-06
1916,Sir Arthur Sullivan,Composition Not Known ,Jacqueline du Pré Music Building,Oxford,2002-07-06
1917,Benjamin Britten,The Turn of the Screw Op 54,The Grange,"Northington, Alresford",2002-07-06
1918,Leoš  Janácek,Sárka ,Garsington Manor,"Garsington, Oxford",2002-07-06
1919,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-06
1920,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-06
1921,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",Longborough Festival Opera House,Moreton-in-Marsh,2002-07-06
1922,Leoš  Janácek,Katya Kabanova ,Glyndebourne Opera House,Lewes,2002-07-07
1923,Gaetano Donizetti," 
								Excerpts from 'Dido and Aeneas' 
						",Islip Village Hall,Islip near Kidlington,2002-07-07
1924,Wolfgang Amadeus Mozart,Così fan tutte K588,The Barn Theatre,Great Dunmow,2002-07-07
1925,Wolfgang Amadeus Mozart,Composition Not Known ,Lauderdale House,London,2002-07-07
1926,Gaetano Donizetti,"Roberto Devereux, ossia Il conte di Essex ",Royal Opera House Covent Garden,London,2002-07-08
1927,Giuseppe Verdi,Simon Boccanegra ,Royal Opera House Covent Garden,London,2002-07-09
1928,Jacques Offenbach,La Périchole ,Buxton Opera House,Buxton,2002-07-09
1929,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-09
1930,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-09
1931,Gaetano Donizetti,"Roberto Devereux, ossia Il conte di Essex ",Royal Opera House Covent Garden,London,2002-07-10
1932,Edward Rushton,The Bear ,Buxton Opera House,Buxton,2002-07-10
1933,Giacomo Puccini,"Suor Angelica, 'Sister Angelica' ",Buxton Opera House,Buxton,2002-07-10
1934,Stephen Sondheim,"Sweeney Todd, the Demon Barber of Fleet Street ",Lyceum Theatre,Sheffield,2002-07-10
1935,Gioachino Rossini,"L'Italiana in Algeri, 'The Italian Girl in Algiers' ",Northcott Theatre,Exeter,2002-07-10
1936,Wolfgang Amadeus Mozart,Don Giovanni K 527,Garsington Manor,"Garsington, Oxford",2002-07-10
1937,Giuseppe Verdi,La Traviata ,The Grange,"Northington, Alresford",2002-07-10
1938,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-10
1939,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-10
1940,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-07-11
1941,Composer Not Known,Composition Not Known ,Henley Festival,Henley,2002-07-11
1942,Jacques Offenbach,La Périchole ,Buxton Opera House,Buxton,2002-07-11
1943,Stephen Sondheim,"Sweeney Todd, the Demon Barber of Fleet Street ",Lyceum Theatre,Sheffield,2002-07-11
1944,Giacomo Puccini,"La Rondine, 'The Swallow' ",Opera Holland Park Theatre,London,2002-07-11
1945,Benjamin Britten,The Turn of the Screw Op 54,The Grange,"Northington, Alresford",2002-07-11
1946,Leoš  Janácek,Sárka ,Garsington Manor,"Garsington, Oxford",2002-07-11
1947,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-11
1948,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-11
1949,Wolfgang Amadeus Mozart,Don Giovanni K 527,Glyndebourne Opera House,Lewes,2002-07-12
1950,Umberto Giordano,Composition Not Known ,Henley Festival,Henley,2002-07-12
1951,Giuseppe Verdi,Simon Boccanegra ,Royal Opera House Covent Garden,London,2002-07-12
1952,Nigel Osborne,The Electrification of the Soviet Union ,Everyman Theatre,Cheltenham,2002-07-12
1953,Francesco  Cavalli,Erismena ,Buxton Opera House,Buxton,2002-07-12
1954,Stephen Sondheim,"Sweeney Todd, the Demon Barber of Fleet Street ",Lyceum Theatre,Sheffield,2002-07-12
1955,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-12
1956,Wolfgang Amadeus Mozart,Don Giovanni K 527,Garsington Manor,"Garsington, Oxford",2002-07-12
1957,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-12
1958,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Longborough Festival Opera House,Moreton-in-Marsh,2002-07-12
1959,Leoš  Janácek,Katya Kabanova ,Glyndebourne Opera House,Lewes,2002-07-13
1960,Nicola LeFanu,The Green Children ,Buxton Opera House,Buxton,2002-07-13
1961,Jacques Offenbach,La Périchole ,Buxton Opera House,Buxton,2002-07-13
1962,Gaetano Donizetti," 
								Excerpts from 'Dido and Aeneas' 
						",Kingston Bagpuize House,Abingdon,2002-07-13
1963,Giacomo Puccini,"La Rondine, 'The Swallow' ",Opera Holland Park Theatre,London,2002-07-13
1964,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-13
1965,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-13
1966,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Longborough Festival Opera House,Moreton-in-Marsh,2002-07-13
1967,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-07-14
1968,Composer Not Known,Composition Not Known ,Royal International Pavilion,Llangollen,2002-07-14
1969,Jacques Offenbach,La Périchole ,Buxton Opera House,Buxton,2002-07-15
1970,Jean-Philippe Rameau," 
								Deuxième Entr'acte from 'Les Indes Galantes' 
						",Tewkesbury Abbey,Tewkesbury,2002-07-15
1971,Giacomo Puccini,"La Rondine, 'The Swallow' ",Opera Holland Park Theatre,London,2002-07-15
1972,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-15
1973,Leoš  Janácek,Katya Kabanova ,Glyndebourne Opera House,Lewes,2002-07-16
1974,Giacomo Puccini,"Suor Angelica, 'Sister Angelica' ",Buxton Opera House,Buxton,2002-07-16
1975,Nigel Osborne,The Electrification of the Soviet Union ,Buxton Opera House,Buxton,2002-07-16
1976,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-16
1977,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-16
1978,Composer Not Known,Composition Not Known ,Fairfield Halls,Croydon,2002-07-16
1979,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-16
1980,Francesco  Cavalli,Erismena ,Buxton Opera House,Buxton,2002-07-17
1981,Giacomo Puccini,"La Rondine, 'The Swallow' ",Opera Holland Park Theatre,London,2002-07-17
1982,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-17
1983,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-17
1984,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-17
1985,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-17
1986,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-07-18
1987,Wolfgang Amadeus Mozart,Don Giovanni K 527,Barbican Hall,London,2002-07-18
1988,Nicola LeFanu,The Green Children ,Buxton Opera House,Buxton,2002-07-18
1989,Jacques Offenbach,La Périchole ,Buxton Opera House,Buxton,2002-07-18
1990,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-18
1991,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-18
1992,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-18
1993,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-18
1994,Giacomo Puccini," 
								Overture to 'The Marriage of Figaro' K492
						",Royal Festival Hall,London,2002-07-19
1995,Leoš  Janácek,Katya Kabanova ,Glyndebourne Opera House,Lewes,2002-07-19
1996,Edward Rushton,The Bear ,Buxton Opera House,Buxton,2002-07-19
1997,Giacomo Puccini,"La Rondine, 'The Swallow' ",Opera Holland Park Theatre,London,2002-07-19
1998,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-19
1999,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Longborough Festival Opera House,Moreton-in-Marsh,2002-07-19
2000,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-19
2001,Wolfgang Amadeus Mozart,Don Giovanni K 527,Barbican Hall,London,2002-07-20
2002,Jacques Offenbach,La Périchole ,Buxton Opera House,Buxton,2002-07-20
2003,Gaetano Donizetti," 
								Excerpts from 'Dido and Aeneas' 
						",Oxford Town Hall,Oxford,2002-07-20
2004,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-20
2005,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-20
2006,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-20
2007,Wolfgang Amadeus Mozart,"Die Zauberflöte, 'The Magic Flute' K620",Longborough Festival Opera House,Moreton-in-Marsh,2002-07-20
2008,Alexander Borodin," 
								I zhar, i znoi smenila nochi ten from 'Ruslan and Lyudmila' 
						",Symphony Hall,Birmingham,2002-07-20
2009,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-20
2010,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,"New Victoria Theatre, The Ambassadors",Woking,2002-07-20
2011,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-07-21
2012,Francesco  Cavalli,Erismena ,Buxton Opera House,Buxton,2002-07-21
2013,Gaetano Donizetti," 
								Excerpts from 'Dido and Aeneas' 
						",Abingdon School,Abingdon,2002-07-21
2014,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Royal & Derngate,Northampton,2002-07-22
2015,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Royal & Derngate,Northampton,2002-07-23
2016,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-23
2017,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-23
2018,Pietro Mascagni," 
								Excerpts from 'La Bohème' 
						",St David's Hall,Cardiff,2002-07-24
2019,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Royal & Derngate,Northampton,2002-07-24
2020,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Royal & Derngate,Northampton,2002-07-24
2021,Giacomo Puccini,"La Rondine, 'The Swallow' ",Opera Holland Park Theatre,London,2002-07-24
2022,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-24
2023,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-24
2024,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-07-25
2025,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Royal & Derngate,Northampton,2002-07-25
2026,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-25
2027,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-25
2028,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-25
2029,Wolfgang Amadeus Mozart,Don Giovanni K 527,Glyndebourne Opera House,Lewes,2002-07-26
2030,Oliver Knussen,Where the Wild Things are Op 20,Royal Albert Hall,London,2002-07-26
2031,Johann Strauss II,Die Fledermaus ,Royal & Derngate,Northampton,2002-07-26
2032,Giacomo Puccini,"La Rondine, 'The Swallow' ",Opera Holland Park Theatre,London,2002-07-26
2033,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-26
2034,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-07-27
2035,Johann Strauss II,Die Fledermaus ,Royal & Derngate,Northampton,2002-07-27
2036,Johann Strauss II,Die Fledermaus ,Royal & Derngate,Northampton,2002-07-27
2037,Francesco Cilea,Adriana Lecouvreur ,Opera Holland Park Theatre,London,2002-07-27
2038,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-27
2039,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-27
2040,Georges Bizet,Carmen ,Concord College,"Acton Burnell,  nr Shrewsbury",2002-07-27
2041,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-07-28
2042,Wolfgang Amadeus Mozart,Don Giovanni K 527,Glyndebourne Opera House,Lewes,2002-07-29
2043,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-07-30
2044,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-30
2045,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-07-31
2046,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-07-31
2047,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-31
2048,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-07-31
2049,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-08-01
2050,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-01
2051,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-01
2052,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-01
2053,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,"Lyric Theatre, Hammersmith",London,2002-08-01
2054,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-02
2055,Maurice Ravel,Goyescas ,Royal Albert Hall,London,2002-08-02
2056,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-02
2057,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-02
2058,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,"Lyric Theatre, Hammersmith",London,2002-08-02
2059,Wolfgang Amadeus Mozart,Don Giovanni K 527,Glyndebourne Opera House,Lewes,2002-08-03
2060,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-03
2061,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-03
2062,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-03
2063,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-03
2064,Composer Not Known,Composition Not Known ,Kenwood House,Hampstead,2002-08-03
2065,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,"Lyric Theatre, Hammersmith",London,2002-08-03
2066,Wolfgang Amadeus Mozart,The Marriage of Figaro K492,"Lyric Theatre, Hammersmith",London,2002-08-03
2067,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-04
2068,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-08-06
2069,Richard Wagner,Symphony No 3 ' Symphonia Sacra' ,Royal Albert Hall,London,2002-08-06
2070,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-06
2071,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-06
2072,Henry Purcell,Composition Not Known ,Brewery Arts Centre,Kendal,2002-08-06
2073,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-07
2074,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-07
2075,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-07
2076,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-07
2077,Manuel de Falla,La noche de los Mayas ,Royal Albert Hall,London,2002-08-08
2078,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-08
2079,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-08
2080,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-08
2081,Sir William Walton,Troilus and Cressida ,St Endellion Church,"St Endellion, near Port Isaac",2002-08-08
2082,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-09
2083,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-09
2084,Antonio Vivaldi,Composition Not Known ,Astor Theatre,Deal,2002-08-09
2085,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-09
2086,Sir William Walton,Troilus and Cressida ,St Endellion Church,"St Endellion, near Port Isaac",2002-08-09
2087,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-08-10
2088,Wolfgang Amadeus Mozart," 
								Overture to 'The Barber of Seville' 
						",Royal Albert Hall,London,2002-08-10
2089,Wolfgang Amadeus Mozart,Don Giovanni K 527,Opera Holland Park Theatre,London,2002-08-10
2090,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-10
2091,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-10
2092,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-11
2093,Richard Wagner,"Der Ring des Nibelungen: Part 1, 'Das Rheingold' ",Symphony Hall,Birmingham,2002-08-12
2094,Richard Wagner,Parsifal ,Edinburgh Festival Theatre,Edinburgh,2002-08-12
2095,Carl Maria von Weber,Euryanthe ,Royal Albert Hall,London,2002-08-12
2096,Richard Wagner,"Der Ring des Nibelungen: Part 2, 'Die Walküre' ",Symphony Hall,Birmingham,2002-08-13
2097,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-08-13
2098,Georges Bizet,Carmen ,Brownsea Island,Poole,2002-08-13
2099,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-13
2100,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-14
2101,Gaetano Donizetti,Maria Stuarda ,Usher Hall,Edinburgh,2002-08-14
2102,Georges Bizet,Carmen ,Brownsea Island,Poole,2002-08-14
2103,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-14
2104,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-14
2105,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-08-15
2106,Richard Wagner,Parsifal ,Edinburgh Festival Theatre,Edinburgh,2002-08-15
2107,Georges Bizet,Carmen ,Brownsea Island,Poole,2002-08-15
2108,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-15
2109,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-15
2110,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Symphony Hall,Birmingham,2002-08-16
2111,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-08-16
2112,Georges Bizet,Carmen ,Brownsea Island,Poole,2002-08-16
2113,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-16
2114,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-17
2115,Georges Bizet,Carmen ,Brownsea Island,Poole,2002-08-17
2116,Georges Bizet,Carmen ,Brownsea Island,Poole,2002-08-17
2117,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-17
2118,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-17
2119,Richard Wagner,"Der Ring des Nibelungen: Part 4, 'Götterdämmerung' ",Symphony Hall,Birmingham,2002-08-18
2120,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-08-18
2121,Richard Wagner,Parsifal ,Edinburgh Festival Theatre,Edinburgh,2002-08-18
2122,George Enescu,Oedipe Op 23,Usher Hall,Edinburgh,2002-08-18
2123,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-19
2124,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-08-20
2125,Aaron Copland,Cuban Overture ,Royal Albert Hall,London,2002-08-20
2126,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-20
2127,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-21
2128,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-21
2129,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-21
2130,Frederick Loewe,My Fair Lady ,Buxton Opera House,Buxton,2002-08-21
2131,Carl Maria von Weber,Euryanthe ,Glyndebourne Opera House,Lewes,2002-08-22
2132,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-22
2133,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-22
2134,Frederick Loewe,My Fair Lady ,Buxton Opera House,Buxton,2002-08-22
2135,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-08-23
2136,Benjamin Britten,The Turn of the Screw Op 54,King's Theatre,Edinburgh,2002-08-23
2137,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-23
2138,Frederick Loewe,My Fair Lady ,Buxton Opera House,Buxton,2002-08-23
2139,Georges Bizet,Carmen ,Glyndebourne Opera House,Lewes,2002-08-24
2140,Modest Mussorgsky,Boris Godunov ,Royal Albert Hall,London,2002-08-24
2141,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-24
2142,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-24
2143,Frederick Loewe,My Fair Lady ,Buxton Opera House,Buxton,2002-08-24
2144,Frederick Loewe,My Fair Lady ,Buxton Opera House,Buxton,2002-08-24
2145,Benjamin Britten,Albert Herring Op 39,Glyndebourne Opera House,Lewes,2002-08-25
2146,Benjamin Britten,The Turn of the Screw Op 54,King's Theatre,Edinburgh,2002-08-25
2147,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Edinburgh Festival Theatre,Edinburgh,2002-08-25
2148,Benjamin Britten,The Turn of the Screw Op 54,King's Theatre,Edinburgh,2002-08-26
2149,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-27
2150,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Edinburgh Festival Theatre,Edinburgh,2002-08-28
2151,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-28
2152,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-28
2153,Igor Stravinsky,Oedipus Rex ,Playhouse Theatre,Edinburgh,2002-08-29
2154,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-29
2155,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-29
2156,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492","Queen Elizabeth Hall, Southbank Centre",London,2002-08-30
2157,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-30
2158,Richard Wagner,"Der Ring des Nibelungen: Part 3, 'Siegfried' ",Edinburgh Festival Theatre,Edinburgh,2002-08-31
2159,Jacques Offenbach,"Orphee aux enfers, 'Orpheus in the Underworld' ","Queen Elizabeth Hall, Southbank Centre",London,2002-08-31
2160,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-31
2161,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-08-31
2162,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492","Queen Elizabeth Hall, Southbank Centre",London,2002-09-02
2163,Jacques Offenbach,"Orphee aux enfers, 'Orpheus in the Underworld' ","Queen Elizabeth Hall, Southbank Centre",London,2002-09-03
2164,Sir Arthur Sullivan,The Mikado (or The Town of Titipu) ,Savoy Theatre,London,2002-09-03
2165,Wolfgang Amadeus Mozart,"Le Nozze di Figaro, 'The Marriage of Figaro' K492","Queen Elizabeth Hall, Southbank Centre",London,2002-09-04
