,country,city,venue,dates,composer,work,listing_url
255,Italy,Naples,Teatro di San Carlo,"July 14 20:00, July 17 20:00, July 19 18:00, July 21 20:00, July 25 18:00","Verdi, Giuseppe (1813-1901)",Rigoletto,https://bachtrack.com/opera-listing/teatro-di-san-carlo/rigoletto/14-july-2018/20-00
256,Russia,Moscow,Stanislavsky and Nemirovich-Danchenko Moscow Music Theatre: Main Stage,"March 07, April 27, May 24, July 14 at 19:00","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/stanislavsky-and-nemirovich-danchenko-moscow-music-theatre-main-stage/madama-butterfly/07-march-2018/19-00
257,United Kingdom,Carlisle,Kirklinton Hall,On Saturday 14 July 2018 at 19:00,"Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/kirklinton-hall/il-barbiere-di-siviglia-the-barber-of-seville/14-july-2018/19-00
258,United States,New York City,Hunter College: Kaye Playhouse,On Saturday 14 July 2018 at 19:30,"Donizetti, Gaetano (1797-1848)",Don Pasquale,https://bachtrack.com/opera-listing/hunter-college-kaye-playhouse/martina-arroyos-young-artists-present-donizettis-don-pasquale/14-july-2018/19-30
259,United States,Lenox,"Tanglewood, Koussevitzky Music Shed",On Saturday 14 July 2018 at 20:00,"Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/tanglewood-koussevitzky-music-shed/andris-nelsons-conducts-puccinis-la-boheme-semi-staged/14-july-2018/20-00
260,Germany,Munich,Nationaltheater,"July 15 19:00, July 17 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/nationaltheater-1927/le-nozze-di-figaro/15-july-2018/19-00
261,Germany,Stuttgart,Staatsoper Stuttgart,"February 04 18:00, 09, 23, 28, March 23, 27, July 16, 25 (at 19:00 unless shown)","Beethoven, Ludwig van (1770-1827)",Fidelio,https://bachtrack.com/opera-listing/staatsoper-stuttgart/fidelio/04-february-2018/18-00
262,United Kingdom,London,Holland Park Theatre,"July 17, 19, 21, 25, 27 at 19:30","Strauss, Richard (1864-1949)",Ariadne auf Naxos,https://bachtrack.com/opera-listing/holland-park-theatre/ariadne-auf-naxos/17-july-2018/19-30
263,United Kingdom,London,Royal Albert Hall,On Tuesday 17 July 2018 at 18:30,"Debussy, Claude (1862-1918)",Pelléas et Mélisande,https://bachtrack.com/opera-listing/royal-albert-hall/prom-5-debussy-pelleas-et-melisande/17-july-2018/18-30
264,Australia,Narre Warren,Bunjil Place,On Tuesday 17 July 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/bunjil-place/madame-butterfly/17-july-2018/19-30
265,Australia,Sydney,Sydney Opera House: Joan Sutherland Theatre,"July 18, 21 13:00, 24, 26, 28, August 01, 04 13:00, 07, 09, 11, 13, 16, 18, 20, 22, 25 13:00, 27, 29, 31 (at 19:30 unless shown)","Verdi, Giuseppe (1813-1901)",Aida,https://bachtrack.com/opera-listing/sydney-opera-house-joan-sutherland-theatre/aida/18-july-2018/19-30
266,Russia,Moscow,Stanislavsky and Nemirovich-Danchenko Moscow Music Theatre: Main Stage,On Wednesday 18 July 2018 at 19:00,"Cherubini, Luigi (1760-1842)",Médée,https://bachtrack.com/opera-listing/stanislavsky-and-nemirovich-danchenko-moscow-music-theatre-main-stage/medee/18-july-2018/19-00
267,United Kingdom,Glyndebourne,Glyndebourne Opera House,"July 19, 22 16:00, 27 17:20, 30 17:20, August 03, 08, 11, 13, 16, 18, 21, 23, 25 (at 16:35 unless shown)","Handel, George Frideric (1685-1759)",Saul,https://bachtrack.com/opera-listing/glyndebourne-opera-house/saul/19-july-2018/16-35
268,Austria,Bregenz,Seebühne Bregenz (Festival floating stage),"July 19 21:15, July 20 21:15, July 21 21:15, July 22 21:15, July 24 21:15, July 25 21:15, July 26 21:15, July 27 21:15, July 28 21:15, July 29 21:15, July 31 21:15, August 01 21:00, August 02 21:00, August 03 21:00, August 04 21:00, August 05 21:00, August 08 21:00, August 09 21:00, August 10 21:00, August 11 21:00, August 12 21:00, August 14 21:00, August 15 21:00, August 17 21:00, August 18 21:00, August 19 21:00","Bizet, Georges (1838-1875)",Carmen,https://bachtrack.com/opera-listing/seebuhne-bregenz-festival-floating-stage/carmen/19-july-2018/21-15
269,United States,San Francisco,San Francisco Conservatory of Music,"July 19 19:30, July 21 14:00","Mozart, Wolfgang Amadeus (1756-1791)",Il re pastore,https://bachtrack.com/opera-listing/san-francisco-conservatory-of-music/il-re-pastore-with-the-merola-opera-program/19-july-2018/19-30
270,Russia,Moscow,Stanislavsky and Nemirovich-Danchenko Moscow Music Theatre: Main Stage,On Thursday 19 July 2018 at 19:00,"Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/stanislavsky-and-nemirovich-danchenko-moscow-music-theatre-main-stage/tosca/19-july-2018/19-00
271,Australia,Warragul,West Gippsland Performing Arts Centre,On Thursday 19 July 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/west-gippsland-performing-arts-centre/madame-butterfly/19-july-2018/19-30
272,United States,New Bedford,Zeiterion Theatre,"July 20 19:00, July 21 19:00, July 22 14:00, July 26 19:00, July 27 19:00, July 28 19:00, July 29 14:00","Bernstein, Leonard (1918-1990)",West Side Story,https://bachtrack.com/opera-listing/zeiterion-theatre/west-side-story/20-july-2018/19-00
273,Germany,Munich,Nationaltheater,On Friday 20 July 2018 at 19:00,"Wagner, Richard (1813-1883)",Das Rheingold,https://bachtrack.com/opera-listing/nationaltheater-1927/das-rheingold/20-july-2018/19-00
274,United Kingdom,Barnard Castle,The Witham,On Friday 20 July 2018 at 19:30,"Purcell, Henry (1659-1695)","Birthday ode for Queen Mary / Come ye sons of art, away, Z323",https://bachtrack.com/opera-listing/the-witham/samling-academy-opera-venus-and-adonis/20-july-2018/19-30
275,United Kingdom,Basingstoke,West Green House,"July 21, 29 at 19:00","Bernstein, Leonard (1918-1990)",Candide,https://bachtrack.com/opera-listing/west-green-house/candide-fully-staged-production/21-july-2018/19-00
276,United Kingdom,Bradford on Avon,Iford Manor,"July 21, 24, 26, 28, 31, August 02, 04 at 19:30","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/iford-manor/madama-butterfly/21-july-2018/19-30
277,United States,Santa Fe,Santa Fe Opera,"July 21 20:30, July 25 20:30, August 03 20:00, August 09 20:00, August 17 20:00","Rossini, Gioachino (1792-1868)",L'italiana in Algeri (The Italian Girl in Algiers),https://bachtrack.com/opera-listing/santa-fe-opera/the-italian-girl-in-algiers/21-july-2018/20-30
278,Austria,Bregenz,Werkstattbühne,"July 21, 22 at 20:00","Piazzolla, Astor (1921-1992)",María de Buenos Aires,https://bachtrack.com/opera-listing/werkstattbuhne/maria-de-buenos-aires/21-july-2018/20-00
279,Australia,Sale,Wedge Performing Arts Centre,On Saturday 21 July 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/the-wedge-performing-arts-centre-1/madame-butterfly/21-july-2018/19-30
280,Germany,Munich,Nationaltheater,On Sunday 22 July 2018 at 17:00,"Wagner, Richard (1813-1883)",Die Walküre,https://bachtrack.com/opera-listing/nationaltheater-1927/die-walkure/22-july-2018/17-00
281,Russia,Moscow,Stanislavsky and Nemirovich-Danchenko Moscow Music Theatre: Main Stage,"March 26, May 25, July 22 at 19:00","Tchaikovsky, Pyotr Ilyich (1840-1893)",Eugene Onegin,https://bachtrack.com/opera-listing/stanislavsky-and-nemirovich-danchenko-moscow-music-theatre-main-stage/eugene-onegin/26-march-2018/19-00
282,Germany,Munich,Prinzregententheater,"July 23 19:00, July 25 19:00, July 27 19:00, July 29 17:00","Haydn, Joseph (1732-1809)",Orlando Paladino,https://bachtrack.com/opera-listing/prinzregententheater/orlando-paladino/23-july-2018/19-00
283,Japan,Osaka,Umeda Arts Theater,"July 24 15:00, July 25 12:00, 16:30, July 26 12:00, 16:30, July 28 12:00, 16:30, July 29 12:00, 16:30, July 30 14:00, 18:30, July 31 13:00, August 01 12:00, 16:30, August 02 12:00, 16:30, August 04 12:00, 16:30, August 05 12:00, 16:30, August 06 13:00, August 07 12:00, 16:30, August 08 12:00, 16:30, August 09 13:00","Bernstein, Leonard (1918-1990)",West Side Story,https://bachtrack.com/opera-listing/umeda-arts-theater/west-side-story/24-july-2018/15-00
284,Germany,Munich,Nationaltheater,On Tuesday 24 July 2018 at 17:00,"Wagner, Richard (1813-1883)",Siegfried,https://bachtrack.com/opera-listing/nationaltheater-1927/siegfried/24-july-2018/17-00
285,United Kingdom,Blandford Forum,"Bryanston School, Coade Theatre","July 24 19:00, July 26 19:00, July 28 14:00","Massenet, Jules (1842-1912)",Le Cid,https://bachtrack.com/opera-listing/bryanston-school-coade-theatre/le-cid/24-july-2018/19-00
286,Australia,Warrnambool,Lighthouse Theatre,On Tuesday 24 July 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/lighthouse-theatre-1/madame-butterfly/24-july-2018/19-30
287,Germany,Munich,Nationaltheater,"July 25, 28 at 19:00","Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/nationaltheater-1927/la-traviata/25-july-2018/19-00
288,Estonia,Kuressaare,Kuressaare Castle Opera House,On Wednesday 25 July 2018 at 20:00,"Mozart, Wolfgang Amadeus (1756-1791)",Le nozze di Figaro (The Marriage of Figaro),https://bachtrack.com/opera-listing/kuressaare-castle-opera-house/le-nozze-di-figaro-the-marriage-of-figaro/25-july-2018/20-00
289,Germany,Bayreuth,Bayreuther Festspielhaus,"July 25, 29, August 02, 06, 10 at 16:00","Wagner, Richard (1813-1883)",Lohengrin,https://bachtrack.com/opera-listing/bayreuther-festspielhaus/lohengrin/25-july-2018/16-00
290,United Kingdom,Blandford Forum,"Bryanston School, Coade Theatre","July 25, 27, 28 at 19:00","Puccini, Giacomo (1858-1924)",La bohème,https://bachtrack.com/opera-listing/bryanston-school-coade-theatre/la-boheme/25-july-2018/19-00
291,United Kingdom,Paisley,Paisley Opera House,"July 26 19:00, July 28 19:00, July 29 15:00","Leoncavallo, Ruggero (1857-1919)",Pagliacci,https://bachtrack.com/opera-listing/paisley-opera-house/pagliacci/26-july-2018/19-00
292,United Kingdom,Basingstoke,West Green House,"July 26, 28 at 19:00","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/west-green-house/madama-butterfly-a-classic-new-production-sung-in-italian/26-july-2018/19-00
293,Germany,Munich,Nationaltheater,"July 26 19:00, July 29 18:00","Verdi, Giuseppe (1813-1901)",Les Vêpres siciliennes,https://bachtrack.com/opera-listing/nationaltheater-1927/les-vepres-siciliennes/26-july-2018/19-00
294,Austria,Salzburg,Stiftung Mozarteum Salzburg: Großer Saal,On Thursday 26 July 2018 at 19:30,"Stradella, Alessandro (1639-1682)",San Giovanni Battista,https://bachtrack.com/opera-listing/stiftung-mozarteum-salzburg-grosser-saal/san-giovanni-battista-collegium-1704-luks/26-july-2018/19-30
295,Estonia,Kuressaare,Kuressaare Castle Opera House,On Thursday 26 July 2018 at 20:00,"Verdi, Giuseppe (1813-1901)",La traviata,https://bachtrack.com/opera-listing/kuressaare-castle-opera-house/la-traviata/26-july-2018/20-00
296,Spain,Madrid,Teatro Real,On Thursday 26 July 2018 at 20:00,"Massenet, Jules (1842-1912)",Thaïs,https://bachtrack.com/opera-listing/teatro-real/thais/26-july-2018/20-00
297,Finland,Kuhmo,Kuhmo Arts Centre,On Thursday 26 July 2018 at 20:15,"Bizet, Georges (1838-1875)",La Tragédie de Carmen,https://bachtrack.com/opera-listing/kuhmo-arts-centre/carmen/26-july-2018/20-15
298,Germany,Bayreuth,Bayreuther Festspielhaus,"July 26, August 01, 08, 14, 19, 25 at 16:00","Wagner, Richard (1813-1883)",Parsifal,https://bachtrack.com/opera-listing/bayreuther-festspielhaus/parsifal/26-july-2018/16-00
299,United Kingdom,Gateshead,Sage Gateshead: Sage Two,"July 26, 27 at 19:30","Purcell, Henry (1659-1695)","Birthday ode for Queen Mary / Come ye sons of art, away, Z323",https://bachtrack.com/opera-listing/sage-two/samling-academy-opera-venus-and-adonis/26-july-2018/19-30
300,Australia,Ballarat,Her Majesty's Theatre,On Thursday 26 July 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/her-majestys-theatre-1/madama-butterfly/26-july-2018/19-30
301,Italy,Torre del Lago,New Grand Open Air Theatre,On Thursday 26 July 2018 at 21:15,"Puccini, Giacomo (1858-1924)",Manon Lescaut,https://bachtrack.com/opera-listing/new-grand-open-air-theatre/manon-lescaut/26-july-2018/21-15
302,United States,Chautauqua,Norton Hall,"July 27 16:00, July 30 19:30","Bernstein, Leonard (1918-1990)",Candide,https://bachtrack.com/opera-listing/norton-hall/candide/27-july-2018/16-00
303,United States,Denver,Alamo Drafthouse Sloan's Lake: Bar Fly,"July 27 20:00, July 28 15:00, 20:00, August 03 20:00, August 05 15:00","Bernstein, Leonard (1918-1990)",Trouble in Tahiti,https://bachtrack.com/opera-listing/alamo-drafthouse-sloans-lake-bar-fly/trouble-in-tahiti/27-july-2018/20-00
304,Austria,Salzburg,Großes Festspielhaus,"July 27 19:00, July 31 19:30, August 04 19:00, August 07 19:00, August 15 19:00, August 24 19:00, August 30 18:00","Mozart, Wolfgang Amadeus (1756-1791)",Die Zauberflöte (The Magic Flute),https://bachtrack.com/opera-listing/grosses-festspielhaus/the-magic-flute-die-zauberflote/27-july-2018/19-00
305,Germany,Munich,Nationaltheater,On Friday 27 July 2018 at 16:00,"Wagner, Richard (1813-1883)",Götterdämmerung,https://bachtrack.com/opera-listing/nationaltheater-1927/gotterdammerung/27-july-2018/16-00
306,Estonia,Kuressaare,Kuressaare Castle Opera House,On Friday 27 July 2018 at 20:00,"Strauss II, Johann (1825-1899)",Der Zigeunerbaron (The Gypsy Baron),https://bachtrack.com/opera-listing/kuressaare-castle-opera-house/der-zigeunerbaron-the-gypsy-baron/27-july-2018/20-00
307,Germany,Bayreuth,Bayreuther Festspielhaus,"July 27, August 13, 16, 20, 24, 28 at 16:00","Wagner, Richard (1813-1883)",Tristan und Isolde,https://bachtrack.com/opera-listing/bayreuther-festspielhaus/tristan-und-isolde/27-july-2018/16-00
308,United Kingdom,Wells-next-the-Sea,Holkham Hall,On Friday 27 July 2018 at 19:00,"Strauss II, Johann (1825-1899)",Die Fledermaus,https://bachtrack.com/opera-listing/holkham-hall/diva-opera-die-fledermaus/27-july-2018/19-00
309,United States,Santa Fe,Santa Fe Opera,"July 28 20:30, August 01 20:00, August 10 20:00, August 15 20:00, August 23 20:00","Strauss, Richard (1864-1949)",Ariadne auf Naxos,https://bachtrack.com/opera-listing/santa-fe-opera/ariadne-auf-naxos/28-july-2018/20-30
310,Austria,Salzburg,Felsenreitschule,"July 28, August 01, 09, 12 15:00, 17, 21, 27 (at 20:00 unless shown)","Strauss, Richard (1864-1949)",Salome,https://bachtrack.com/opera-listing/felsenreitschule/salome/28-july-2018/20-00
311,United Kingdom,Moreton-in-Marsh,Longborough Festival Opera,"July 28, 30, 31, August 02 at 17:00","Monteverdi, Claudio (1567-1643)","L'incoronazione di Poppea, SV 308",https://bachtrack.com/opera-listing/longborough-festival-opera/lincoronazione-di-poppea-longborough-festival-opera/28-july-2018/17-00
312,Germany,Bayreuth,Bayreuther Festspielhaus,"July 28, August 05, 11, 17, 21, 27 at 16:00","Wagner, Richard (1813-1883)",Die Meistersinger von Nürnberg,https://bachtrack.com/opera-listing/bayreuther-festspielhaus/die-meistersinger-von-nurnberg/28-july-2018/16-00
313,United Kingdom,Wells-next-the-Sea,Holkham Hall,On Saturday 28 July 2018 at 19:00,"Mozart, Wolfgang Amadeus (1756-1791)",Die Entführung aus dem Serail (The Abduction from the Harem),https://bachtrack.com/opera-listing/holkham-hall/diva-opera-the-abduction-from-the-seraglio/28-july-2018/19-00
314,Italy,Martina Franca ,Palazzo Ducale,On Sunday 29 July 2018 at 20:00,"Handel, George Frideric (1685-1759)",Rinaldo,https://bachtrack.com/opera-listing/palazzo-ducale-9186/rinaldo/29-july-2018/20-00
315,Finland,Savonlinna,Olavinlinna Castle,"July 30, August 01, 03 at 19:00","Puccini, Giacomo (1858-1924)",Turandot,https://bachtrack.com/opera-listing/olavinlinna-castle/turandot/30-july-2018/19-00
316,Germany,Munich,Nationaltheater,On Monday 30 July 2018 at 19:00,"Janáček, Leoš (1854-1928)",From the House of the Dead,https://bachtrack.com/opera-listing/nationaltheater-1927/aus-einem-totenhaus/30-july-2018/19-00
317,Germany,Bayreuth,Bayreuther Festspielhaus,"July 30, August 03, 07, 12, 22, 26 at 16:00","Wagner, Richard (1813-1883)",Der fliegende Holländer (The Flying Dutchman),https://bachtrack.com/opera-listing/bayreuther-festspielhaus/der-fliegende-hollander-the-flying-dutchman/30-july-2018/16-00
318,Finland,Savonlinna,Olavinlinna Castle,"July 31, August 02, 04 at 19:00","Puccini, Giacomo (1858-1924)",Tosca,https://bachtrack.com/opera-listing/olavinlinna-castle/tosca/31-july-2018/19-00
319,Germany,Bayreuth,Bayreuther Festspielhaus,"July 31, August 18, 29 at 16:00","Wagner, Richard (1813-1883)",Die Walküre,https://bachtrack.com/opera-listing/bayreuther-festspielhaus/die-walkure/31-july-2018/16-00
320,France,Orange,Théâtre Antique,"July 31, August 04 at 21:30","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/theatre-antique/il-barbiere-di-siviglia/31-july-2018/21-30
321,Australia,Mildura,Mildura Arts Centre,On Tuesday 31 July 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/mildura-arts-centre/madame-butterfly/31-july-2018/19-30
322,United States,San Francisco,San Francisco Conservatory of Music,"August 02 19:30, August 04 14:00","Stravinsky, Igor (1882-1971)",The Rake's Progress,https://bachtrack.com/opera-listing/san-francisco-conservatory-of-music/the-rakes-progress-with-the-merola-opera-program/02-august-2018/19-30
323,Australia,Horsham,Horsham Town Hall,On Thursday  2 August 2018 at 20:00,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/horsham-town-hall/madama-butterfly/02-august-2018/20-00
324,Belgium,Bruges,Concertgebouw Brugge: Concert Hall,On Friday  3 August 2018 at 20:00,"Handel, George Frideric (1685-1759)",Rinaldo,https://bachtrack.com/concert-listing/concertgebouw-brugge-concert-hall/rinaldo/03-august-2018/20-00
325,Australia,Tamworth,Capitol Theatre,On Saturday  4 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/capitol-theatre-7694/madama-butterfly/04-august-2018/19-30
326,United Kingdom,Glyndebourne,Glyndebourne Opera House,"August 05 16:35, August 07 17:10, August 10 17:10, August 12 16:35, August 14 17:10, August 17 17:10, August 19 16:35, August 22 17:10, August 24 17:10, August 26 16:35","Barber, Samuel (1910-1981)",Vanessa,https://bachtrack.com/opera-listing/glyndebourne-opera-house/vanessa/05-august-2018/16-35
327,Austria,Salzburg,Großes Festspielhaus,"August 05 18:00, August 10 19:30, August 13 19:00, August 18 20:00, August 22 19:00, August 25 19:00","Tchaikovsky, Pyotr Ilyich (1840-1893)",The Queen of Spades (Pique-Dame),https://bachtrack.com/opera-listing/grosses-festspielhaus/the-queen-of-spades-pique-dame/05-august-2018/18-00
328,United Kingdom,Edinburgh,Edinburgh Festival Theatre,"August 05, 07, 08 at 19:15","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/edinburgh-festival-theatre/il-barbiere-di-siviglia/05-august-2018/19-15
329,United States,Cooperstown,Pavilion,"August 07, 12, 20 at 17:00","Bernstein, Leonard (1918-1990)",Trouble in Tahiti,https://bachtrack.com/opera-listing/pavilion-2/trouble-in-tahiti/07-august-2018/17-00
330,Australia,Murwillumbah,Murwillumbah Civic Centre,On Tuesday  7 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/murwillumbah-civic-centre/madame-butterfly/07-august-2018/19-30
331,Austria,Salzburg,Haus für Mozart,"August 08 19:30, August 11 19:30, August 14 15:00, August 16 15:00, August 19 19:30","Rossini, Gioachino (1792-1868)",L'italiana in Algeri (The Italian Girl in Algiers),https://bachtrack.com/opera-listing/haus-fur-mozart/litaliana-in-algeri/08-august-2018/19-30
332,United Kingdom,Edinburgh,Usher Hall,On Wednesday  8 August 2018 at 16:30,"Wagner, Richard (1813-1883)",Siegfried,https://bachtrack.com/opera-listing/usher-hall/siegfried/08-august-2018/16-30
333,Belgium,Bruges,Concertgebouw Brugge: Concert Hall,On Thursday  9 August 2018 at 20:00,"Debussy, Claude (1862-1918)",Pelléas et Mélisande,https://bachtrack.com/concert-listing/concertgebouw-brugge-concert-hall/pelleas-et-melisande-debussys-opera-in-pocket-size/09-august-2018/20-00
334,Australia,Armidale,University of New England: Lazenby Hall,On Thursday  9 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/lazenby-hall-1/madame-butterfly/09-august-2018/19-30
335,Australia,Sydney,Sydney Opera House: Joan Sutherland Theatre,"August 10, 15, 18 12:30, 23, 25, 28, 30, September 01 (at 19:30 unless shown)","Rossini, Gioachino (1792-1868)",Il turco in Italia (The Turk in Italy),https://bachtrack.com/opera-listing/sydney-opera-house-joan-sutherland-theatre/il-turco-in-italia-the-turk-in-italy/10-august-2018/19-30
336,United Kingdom,London,Royal Albert Hall,On Saturday 11 August 2018 at 15:30 and 20:00,"Bernstein, Leonard (1918-1990)",West Side Story,https://bachtrack.com/opera-listing/royal-albert-hall/proms-38-39-west-side-story/11-august-2018/15-30
337,Australia,Port Macquarie,Glasshouse,On Saturday 11 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/glasshouse/madame-butterfly/11-august-2018/19-30
338,Austria,Salzburg,Haus für Mozart,"August 12 18:30, August 15 15:00, August 18 18:30, August 20 18:30, August 22 18:30, August 28 18:30","Monteverdi, Claudio (1567-1643)","L'incoronazione di Poppea, SV 308",https://bachtrack.com/opera-listing/haus-fur-mozart/lincoronazione-di-poppea-sv-308/12-august-2018/18-30
339,Italy,Pesaro,Adriatic Arena,"August 13, 16, 19, 22 at 20:00","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/adriatic-arena/il-barbiere-di-siviglia/13-august-2018/20-00
340,Austria,Bregenz,Theater am Kornmarkt,"August 13, 14, 16, 18 at 19:30","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/theater-am-kornmarkt/il-barbiere-di-siviglia/13-august-2018/19-30
341,Australia,Newcastle NSW,Newcastle Civic Theatre,On Tuesday 14 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/newcastle-civic-theatre/madama-butterfly/14-august-2018/19-30
342,Italy,Pesaro,Teatro Rossini,"August 15, 17 at 11:00","Rossini, Gioachino (1792-1868)",Il viaggio a Reims,https://bachtrack.com/opera-listing/teatro-rossini/il-viaggio-a-reims/15-august-2018/11-00
343,United Kingdom,Edinburgh,Usher Hall,On Wednesday 15 August 2018 at 19:30,"Humperdinck, Engelbert (1854-1921)",Hänsel und Gretel,https://bachtrack.com/opera-listing/usher-hall/hansel-gretel/15-august-2018/19-30
344,Austria,Salzburg,Felsenreitschule,"August 16 19:30, August 19 15:00, August 23 19:30, August 26 19:30","Henze, Hans Werner (1926-2012)",The Bassarids,https://bachtrack.com/opera-listing/felsenreitschule/the-bassarids/16-august-2018/19-30
345,Australia,Bathurst,Bathurst Memorial Entertainment Centre,On Thursday 16 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/bathurst-memorial-entertainment-centre-1/madame-butterfly/16-august-2018/19-30
346,Germany,Eltville am Rhein,Kloster Eberbach: Basilika,On Friday 17 August 2018 at 20:00,"Handel, George Frideric (1685-1759)",Israel in Egypt,https://bachtrack.com/concert-listing/kloster-eberbach-basilika/georg-friedrich-handel-israel-in-egypt/17-august-2018/20-00
347,United Kingdom,London,Royal Albert Hall,On Saturday 18 August 2018 at 19:30,"Ravel, Maurice (1875-1937)",Mother Goose (Ma mère l'Oye),https://bachtrack.com/concert-listing/royal-albert-hall/prom-48-sir-simon-rattle-conducts-lenfant-et-les-sortileges/18-august-2018/19-30
348,United Kingdom,London,Royal Albert Hall,On Saturday 18 August 2018 at 19:30,"Ravel, Maurice (1875-1937)",Shéhérazade,https://bachtrack.com/concert-listing/royal-albert-hall/prom-48-sir-simon-rattle-conducts-lenfant-et-les-sortileges/18-august-2018/19-30
349,United Kingdom,London,Royal Albert Hall,On Saturday 18 August 2018 at 19:30,"Ravel, Maurice (1875-1937)",L'Enfant et les sortilèges,https://bachtrack.com/concert-listing/royal-albert-hall/prom-48-sir-simon-rattle-conducts-lenfant-et-les-sortileges/18-august-2018/19-30
350,Australia,Parramatta,Riverside Theatre,On Saturday 18 August 2018 at 19:30,"Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/riverside-theatre-1/madame-butterfly/18-august-2018/19-30
351,Germany,Frankfurt am Main,Oper Frankfurt,"August 19 15:30, August 23 19:30, August 26 18:00, September 02 19:30, September 13 19:30, September 16 18:00","Verdi, Giuseppe (1813-1901)",Otello,https://bachtrack.com/opera-listing/oper-frankfurt/otello/19-august-2018/15-30
352,Italy,Venice,Teatro La Fenice,"August 19 19:00, August 24 19:00, August 26 19:00, September 02 19:00, September 04 19:00, September 15 15:30, September 19 19:00, September 23 15:30, September 27 19:00, October 04 19:00, October 06 15:30, October 20 15:30, October 24 19:00, October 26 19:00, October 28 15:30, October 30 19:00","Rossini, Gioachino (1792-1868)",Il barbiere di Siviglia (The Barber of Seville),https://bachtrack.com/opera-listing/teatro-la-fenice/il-barbiere-di-siviglia-the-barber-of-seville/19-august-2018/19-00
353,Austria,Grafenegg,Wolkenturm,On Sunday 19 August 2018 at 19:30,"Wagner, Richard (1813-1883)",Die Meistersinger von Nürnberg: Prelude to Act 1,https://bachtrack.com/concert-listing/wolkenturm/die-walkure-mit-jonas-kaufmann/19-august-2018/19-30
354,Austria,Grafenegg,Wolkenturm,On Sunday 19 August 2018 at 19:30,"Wagner, Richard (1813-1883)",Tristan and Isolde: Prelude to Act 1,https://bachtrack.com/concert-listing/wolkenturm/die-walkure-mit-jonas-kaufmann/19-august-2018/19-30
355,Austria,Grafenegg,Wolkenturm,On Sunday 19 August 2018 at 19:30,"Wagner, Richard (1813-1883)",Die Walküre: Ride of the Valkyries,https://bachtrack.com/concert-listing/wolkenturm/die-walkure-mit-jonas-kaufmann/19-august-2018/19-30
356,Austria,Grafenegg,Wolkenturm,On Sunday 19 August 2018 at 19:30,"Wagner, Richard (1813-1883)",Die Walküre: Act 1,https://bachtrack.com/concert-listing/wolkenturm/die-walkure-mit-jonas-kaufmann/19-august-2018/19-30
357,Australia,Wollongong,Illawarra Performing Arts Centre,"August 22, 23 at 19:30","Puccini, Giacomo (1858-1924)",Madama Butterfly,https://bachtrack.com/opera-listing/illawarra-performing-arts-centre/madama-butterfly/22-august-2018/19-30
