,work,date
23192,The MET Orchestra,1995-05-18
23193,The MET Orchestra,1995-05-20
23194,Rigoletto,1995-06-13
23195,La Traviata,1995-06-14
23196,Rigoletto,1995-06-16
23197,La Traviata,1995-06-17
23198,La Traviata,1995-06-20
23199,Rigoletto,1995-06-21
23200,"La Traviata: Act I, Act II, Scene 1",1995-06-23
23201,Rigoletto,1995-06-24
23202,La Traviata,1995-06-27
23203,Rigoletto,1995-06-28
23204,La Traviata,1995-06-30
23205,Rigoletto,1995-07-02
23206,Otello,1995-10-02
23207,Aida,1995-10-03
23208,Don Giovanni,1995-10-04
23209,Otello,1995-10-05
23210,Aida,1995-10-06
23211,Don Giovanni,1995-10-07
23212,Carmen,1995-10-07
23213,Otello,1995-10-09
23214,Don Giovanni,1995-10-10
23215,Carmen,1995-10-11
23216,Aida,1995-10-12
23217,Otello,1995-10-13
23218,Carmen,1995-10-14
23219,Don Giovanni,1995-10-14
23220,The MET Orchestra,1995-10-15
23221,Otello,1995-10-16
23222,Aida,1995-10-17
23223,Carmen,1995-10-18
23224,Don Giovanni,1995-10-19
23225,Aida,1995-10-20
23226,Carmen,1995-10-21
23227,Don Giovanni,1995-10-21
23228,Aida,1995-10-23
23229,Don Giovanni,1995-10-24
23230,Carmen,1995-10-25
23231,The Queen of Spades,1995-10-26
23232,Aida,1995-10-27
23233,Die Zauberflöte,1995-10-28
23234,Carmen,1995-10-28
23235,The Queen of Spades,1995-10-30
23236,Aida,1995-10-31
23237,Die Zauberflöte,1995-11-01
23238,Carmen,1995-11-02
23239,The Queen of Spades,1995-11-03
23240,Aida,1995-11-04
23241,La Fille du Régiment,1995-11-04
23242,Die Zauberflöte,1995-11-06
23243,The Queen of Spades,1995-11-07
23244,La Fille du Régiment,1995-11-08
23245,Die Zauberflöte,1995-11-09
23246,Un Ballo in Maschera,1995-11-10
23247,La Fille du Régiment,1995-11-11
23248,The Queen of Spades,1995-11-11
23249,Il Barbiere di Siviglia,1995-11-13
23250,Un Ballo in Maschera,1995-11-14
23251,La Fille du Régiment,1995-11-15
23252,The Queen of Spades,1995-11-16
23253,Il Barbiere di Siviglia,1995-11-17
23254,Un Ballo in Maschera,1995-11-18
23255,La Fille du Régiment,1995-11-18
23256,Il Barbiere di Siviglia,1995-11-20
23257,Un Ballo in Maschera,1995-11-21
23258,La Fille du Régiment,1995-11-22
23259,Il Barbiere di Siviglia,1995-11-24
23260,Rise and Fall of the City of Mahagonny,1995-11-25
23261,Un Ballo in Maschera,1995-11-25
23262,Il Barbiere di Siviglia,1995-11-27
23263,La Fille du Régiment,1995-11-28
23264,Rise and Fall of the City of Mahagonny,1995-11-29
23265,Il Barbiere di Siviglia,1995-11-30
23266,Un Ballo in Maschera,1995-12-01
23267,Die Zauberflöte,1995-12-02
23268,Rise and Fall of the City of Mahagonny,1995-12-02
23269,Die Meistersinger von Nürnberg,1995-12-04
23270,Un Ballo in Maschera,1995-12-05
23271,Rise and Fall of the City of Mahagonny,1995-12-06
23272,Die Zauberflöte,1995-12-07
23273,Die Meistersinger von Nürnberg,1995-12-08
23274,Rise and Fall of the City of Mahagonny,1995-12-09
23275,Un Ballo in Maschera,1995-12-09
23276,La Bohème,1995-12-11
23277,Die Meistersinger von Nürnberg,1995-12-12
23278,Die Zauberflöte,1995-12-13
23279,Un Ballo in Maschera,1995-12-14
23280,La Bohème,1995-12-15
23281,Die Meistersinger von Nürnberg,1995-12-16
23282,Die Zauberflöte,1995-12-16
23283,La Bohème,1995-12-18
23284,Die Zauberflöte,1995-12-19
23285,Die Fledermaus,1995-12-20
23286,Die Meistersinger von Nürnberg,1995-12-21
23287,La Bohème,1995-12-22
23288,Die Zauberflöte,1995-12-23
23289,Die Fledermaus,1995-12-23
23290,Die Fledermaus,1995-12-26
23291,The Queen of Spades,1995-12-27
23292,La Bohème,1995-12-28
23293,Die Fledermaus,1995-12-29
23294,The Queen of Spades,1995-12-30
23295,La Bohème,1995-12-30
23296,Die Fledermaus,1995-12-31
23297,The Queen of Spades,1996-01-02
23298,La Bohème,1996-01-03
23299,Die Fledermaus,1996-01-04
23300,Cancelled PerformanceThe Makropulos Case: Act I partial,1996-01-05
23301,La Bohème,1996-01-06
23302,Die Fledermaus,1996-01-06
23303,Cancelled Performance,1996-01-08
23304,La Bohème,1996-01-09
23305,Don Giovanni,1996-01-10
23306,The Makropulos Case,1996-01-11
23307,Turandot,1996-01-12
23308,Don Giovanni,1996-01-13
23309,La Bohème,1996-01-13
23310,Turandot,1996-01-15
23311,The Makropulos Case,1996-01-16
23312,Il Barbiere di Siviglia,1996-01-17
23313,Don Giovanni,1996-01-18
23314,Turandot,1996-01-19
23315,The Makropulos Case,1996-01-20
23316,Il Barbiere di Siviglia,1996-01-20
23317,Falstaff,1996-01-22
23318,Il Barbiere di Siviglia,1996-01-23
23319,The Makropulos Case,1996-01-24
23320,Turandot,1996-01-25
23321,Falstaff,1996-01-26
23322,Il Barbiere di Siviglia,1996-01-27
23323,The Makropulos Case,1996-01-27
23324,Turandot,1996-01-29
23325,Falstaff,1996-01-30
23326,Il Barbiere di Siviglia,1996-01-31
23327,The Makropulos Case,1996-02-01
23328,Turandot,1996-02-02
23329,Falstaff,1996-02-03
23330,Il Barbiere di Siviglia,1996-02-03
23331,Turandot,1996-02-05
23332,Otello,1996-02-06
23333,Falstaff,1996-02-07
23334,Così Fan Tutte,1996-02-08
23335,Turandot,1996-02-09
23336,Otello,1996-02-10
23337,Falstaff,1996-02-10
23338,Madama Butterfly,1996-02-12
23339,Così Fan Tutte,1996-02-13
23340,Turandot,1996-02-14
23341,Madama Butterfly,1996-02-15
23342,Aida,1996-02-16
23343,Turandot,1996-02-17
23344,Così Fan Tutte,1996-02-17
23345,Aida,1996-02-19
23346,Madama Butterfly,1996-02-20
23347,Così Fan Tutte,1996-02-21
23348,Turandot,1996-02-22
23349,Madama Butterfly,1996-02-23
23350,Così Fan Tutte,1996-02-24
23351,Aida,1996-02-24
23352,Madama Butterfly,1996-02-26
23353,Così Fan Tutte,1996-02-27
23354,Aida,1996-02-28
23355,La Forza del Destino,1996-02-29
23356,Madama Butterfly,1996-03-01
23357,Aida,1996-03-02
23358,Così Fan Tutte,1996-03-02
23359,La Forza del Destino,1996-03-04
23360,Così Fan Tutte,1996-03-05
23361,Madama Butterfly,1996-03-06
23362,Salome,1996-03-07
23363,La Forza del Destino,1996-03-08
23364,Madama Butterfly,1996-03-09
23365,Così Fan Tutte,1996-03-09
23366,The MET Orchestra,1996-03-10
23367,Salome,1996-03-11
23368,La Forza del Destino,1996-03-12
23369,Carmen,1996-03-13
23370,Così Fan Tutte,1996-03-14
23371,Salome,1996-03-15
23372,La Forza del Destino,1996-03-16
23373,Carmen,1996-03-16
23374,The Voyage,1996-03-18
23375,Carmen,1996-03-19
23376,Salome,1996-03-20
23377,La Forza del Destino,1996-03-21
23378,The Voyage,1996-03-22
23379,Carmen,1996-03-23
23380,Salome,1996-03-23
23381,La Forza del Destino,1996-03-25
23382,Salome,1996-03-26
23383,Roméo et Juliette,1996-03-27
23384,The Voyage,1996-03-28
23385,La Forza del Destino,1996-03-29
23386,Salome,1996-03-30
23387,Roméo et Juliette,1996-03-30
23388,National Council Winners Concert,1996-03-31
23389,La Forza del Destino,1996-04-01
23390,The Voyage,1996-04-02
23391,Salome,1996-04-03
23392,Roméo et Juliette,1996-04-04
23393,La Forza del Destino,1996-04-05
23394,The Voyage,1996-04-06
23395,Andrea Chénier,1996-04-06
23396,Roméo et Juliette,1996-04-08
23397,Andrea Chénier,1996-04-09
23398,La Bohème,1996-04-10
23399,The Voyage,1996-04-11
23400,Roméo et Juliette,1996-04-12
23401,Andrea Chénier,1996-04-13
23402,La Bohème,1996-04-13
23403,Die Walküre,1996-04-15
23404,Andrea Chénier,1996-04-16
23405,Roméo et Juliette,1996-04-17
23406,La Bohème,1996-04-17
23407,Roméo et Juliette,1996-04-18
23408,Andrea Chénier,1996-04-19
23409,Die Walküre,1996-04-20
23410,La Bohème,1996-04-20
23411,The MET Orchestra,1996-04-21
23412,Roméo et Juliette,1996-04-22
23413,Die Walküre,1996-04-23
23414,La Bohème,1996-04-24
23415,Andrea Chénier,1996-04-25
23416,Roméo et Juliette,1996-04-26
23417,La Bohème,1996-04-27
23418,James Levine Gala,1996-04-27
23419,The MET Orchestra,1996-05-07
23420,The MET Orchestra,1996-05-08
23421,The MET Orchestra,1996-05-09
23422,The MET Orchestra,1996-05-11
23423,The MET Orchestra,1996-05-14
23424,Ariadne auf Naxos,1996-05-15
23425,Andrea Chénier,1996-05-16
23426,Idomeneo,1996-05-17
23427,The MET Orchestra,1996-05-19
23428,The MET Orchestra,1996-05-20
23429,The MET Orchestra,1996-05-21
23430,Turandot,1996-06-11
23431,Aida,1996-06-12
23432,Turandot,1996-06-14
23433,Aida,1996-06-15
23434,Aida,1996-06-18
23435,Aida,1996-06-21
23436,Turandot,1996-06-23
23437,Aida,1996-06-25
23438,Turandot,1996-06-26
23439,Aida,1996-06-28
23440,Turandot,1996-06-29
23441,Andrea Chénier,1996-09-30
23442,The Bartered Bride,1996-10-01
23443,La Traviata,1996-10-02
23444,Andrea Chénier,1996-10-03
23445,The Bartered Bride,1996-10-04
23446,Fedora,1996-10-05
23447,La Traviata,1996-10-05
23448,Andrea Chénier,1996-10-07
23449,Fedora,1996-10-08
23450,La Traviata,1996-10-09
23451,The Bartered Bride,1996-10-10
23452,Andrea Chénier,1996-10-11
23453,Fedora,1996-10-12
23454,La Traviata,1996-10-12
23455,Rigoletto,1996-10-14
23456,Andrea Chénier,1996-10-15
23457,The Bartered Bride,1996-10-16
23458,Fedora,1996-10-17
23459,Andrea Chénier,1996-10-18
23460,Rigoletto,1996-10-19
23461,The Bartered Bride,1996-10-19
23462,The MET Orchestra,1996-10-20
23463,Fedora,1996-10-21
23464,Rigoletto,1996-10-22
23465,La Traviata,1996-10-23
23466,The Bartered Bride,1996-10-24
23467,Fedora,1996-10-25
23468,La Traviata,1996-10-26
23469,Rigoletto,1996-10-26
23470,The Bartered Bride,1996-10-28
23471,La Traviata,1996-10-29
23472,Rigoletto,1996-10-30
23473,Carmen,1996-10-31
23474,The Bartered Bride,1996-11-01
23475,La Traviata,1996-11-02
23476,Rigoletto,1996-11-02
23477,Carmen,1996-11-04
23478,La Traviata,1996-11-05
23479,L'Elisir d'Amore,1996-11-06
23480,Carmen,1996-11-07
23481,Rigoletto,1996-11-08
23482,L'Elisir d'Amore,1996-11-09
23483,La Traviata,1996-11-09
23484,"The MET Orchestra
La Damnation de Faust",1996-11-10
23485,Rigoletto,1996-11-11
23486,Carmen,1996-11-12
23487,L'Elisir d'Amore,1996-11-13
23488,La Traviata,1996-11-14
23489,Carmen,1996-11-15
23490,Rigoletto,1996-11-16
23491,Così Fan Tutte,1996-11-16
23492,L'Elisir d'Amore,1996-11-18
23493,Così Fan Tutte,1996-11-19
23494,Carmen,1996-11-20
23495,Rigoletto,1996-11-21
23496,Carmen,1996-11-22
23497,Così Fan Tutte,1996-11-23
23498,L'Elisir d'Amore,1996-11-23
23499,A Midsummer Night's Dream,1996-11-25
23500,Carmen,1996-11-26
23501,Così Fan Tutte,1996-11-27
23502,A Midsummer Night's Dream,1996-11-29
23503,Così Fan Tutte,1996-11-30
23504,Carmen,1996-11-30
23505,A Midsummer Night's Dream,1996-12-02
23506,Così Fan Tutte,1996-12-03
23507,Carmen,1996-12-04
23508,A Midsummer Night's Dream,1996-12-05
23509,Così Fan Tutte,1996-12-06
23510,Carmen,1996-12-07
23511,L'Elisir d'Amore,1996-12-07
23512,"The MET Orchestra
Verdi Requiem Mass",1996-12-08
23513,Rigoletto,1996-12-09
23514,L'Elisir d'Amore,1996-12-10
23515,A Midsummer Night's Dream,1996-12-11
23516,Rigoletto,1996-12-12
23517,Tosca,1996-12-13
23518,L'Elisir d'Amore,1996-12-14
23519,A Midsummer Night's Dream,1996-12-14
23520,Tosca,1996-12-16
23521,Rigoletto,1996-12-17
23522,A Midsummer Night's Dream,1996-12-18
23523,L'Elisir d'Amore,1996-12-19
23524,Tosca,1996-12-20
23525,A Midsummer Night's Dream,1996-12-21
23526,Rigoletto,1996-12-21
23527,Hänsel und Gretel,1996-12-23
23528,Tosca,1996-12-24
23529,Hänsel und Gretel,1996-12-26
23530,Tosca,1996-12-27
23531,Hänsel und Gretel,1996-12-28
23532,La Bohème,1996-12-28
23533,Hänsel und Gretel,1996-12-30
23534,La Bohème,1996-12-31
23535,Tosca,1997-01-01
23536,Hänsel und Gretel,1997-01-02
23537,La Bohème,1997-01-03
23538,Tosca,1997-01-04
23539,Hänsel und Gretel,1997-01-04
23540,Cavalleria Rusticana,1997-01-06
23541,Hänsel und Gretel,1997-01-07
23542,La Bohème,1997-01-08
23543,Tosca,1997-01-09
23544,La Traviata,1997-01-10
23545,La Bohème,1997-01-11
23546,Cavalleria Rusticana,1997-01-11
23547,Luciano Pavarotti Concert,1997-01-12
23548,I Puritani,1997-01-13
23549,La Traviata,1997-01-14
23550,La Bohème,1997-01-15
23551,Cavalleria Rusticana,1997-01-16
23552,I Puritani,1997-01-17
23553,La Traviata,1997-01-18
23554,La Bohème,1997-01-18
23555,Le Nozze di Figaro,1997-01-20
23556,Cavalleria Rusticana,1997-01-21
23557,I Puritani,1997-01-22
23558,La Bohème,1997-01-23
23559,Le Nozze di Figaro,1997-01-24
23560,Cavalleria Rusticana,1997-01-25
23561,I Puritani,1997-01-25
23562,Le Nozze di Figaro,1997-01-27
23563,I Puritani,1997-01-28
23564,Cavalleria Rusticana,1997-01-29
23565,Un Ballo in Maschera,1997-01-30
23566,Le Nozze di Figaro,1997-01-31
23567,I Puritani,1997-02-01
23568,Cavalleria Rusticana,1997-02-01
23569,Un Ballo in Maschera,1997-02-03
23570,Le Nozze di Figaro,1997-02-04
23571,Cavalleria Rusticana,1997-02-05
23572,Le Nozze di Figaro,1997-02-06
23573,Un Ballo in Maschera,1997-02-07
23574,Le Nozze di Figaro,1997-02-08
23575,Cavalleria Rusticana,1997-02-08
23576,Wozzeck,1997-02-10
23577,Un Ballo in Maschera,1997-02-11
23578,Le Nozze di Figaro,1997-02-12
23579,Cavalleria Rusticana,1997-02-13
23580,Wozzeck,1997-02-14
23581,Un Ballo in Maschera,1997-02-15
23582,Le Nozze di Figaro,1997-02-15
23583,Aida,1997-02-17
23584,Wozzeck,1997-02-18
23585,Un Ballo in Maschera,1997-02-19
23586,Le Nozze di Figaro,1997-02-20
23587,Aida,1997-02-21
23588,Wozzeck,1997-02-22
23589,Un Ballo in Maschera,1997-02-22
23590,Wozzeck,1997-02-24
23591,Aida,1997-02-25
23592,Billy Budd,1997-02-26
23593,Un Ballo in Maschera,1997-02-27
23594,La Bohème,1997-02-28
23595,Aida,1997-03-01
23596,Billy Budd,1997-03-01
23597,National Council Winners Concert,1997-03-02
23598,La Bohème,1997-03-03
23599,Un Ballo in Maschera,1997-03-04
23600,Billy Budd,1997-03-05
23601,Aida,1997-03-06
23602,Un Ballo in Maschera,1997-03-07
23603,Billy Budd,1997-03-08
23604,La Bohème,1997-03-08
23605,Aida,1997-03-10
23606,Billy Budd,1997-03-11
23607,Così Fan Tutte,1997-03-12
23608,Eugene Onegin,1997-03-13
23609,Billy Budd,1997-03-14
23610,Così Fan Tutte,1997-03-15
23611,Aida,1997-03-15
23612,Eugene Onegin,1997-03-17
23613,Aida,1997-03-18
23614,Carmen,1997-03-19
23615,Eugene Onegin,1997-03-20
23616,Faust,1997-03-21
23617,Carmen,1997-03-22
23618,Aida,1997-03-22
23619,Faust,1997-03-24
23620,Carmen,1997-03-25
23621,Das Rheingold,1997-03-26
23622,Eugene Onegin,1997-03-27
23623,Aida,1997-03-28
23624,Das Rheingold,1997-03-29
23625,Faust,1997-03-29
23626,Madama Butterfly,1997-03-31
23627,Eugene Onegin,1997-04-01
23628,Faust,1997-04-02
23629,Aida,1997-04-03
23630,Madama Butterfly,1997-04-04
23631,Faust,1997-04-05
23632,Eugene Onegin,1997-04-05
23633,Die Walküre,1997-04-07
23634,Madama Butterfly,1997-04-08
23635,Faust,1997-04-09
23636,Eugene Onegin,1997-04-10
23637,Madama Butterfly,1997-04-11
23638,Die Walküre,1997-04-12
23639,Faust,1997-04-12
23640,Eugene Onegin,1997-04-14
23641,Faust,1997-04-15
23642,Madama Butterfly,1997-04-16
23643,Die Walküre,1997-04-17
23644,Faust,1997-04-18
23645,Eugene Onegin,1997-04-19
23646,Siegfried,1997-04-19
23647,Madama Butterfly,1997-04-21
23648,Fedora,1997-04-22
23649,Faust,1997-04-23
23650,Madama Butterfly,1997-04-24
23651,Das Rheingold,1997-04-25
23652,Fedora,1997-04-26
23653,Götterdämmerung,1997-04-26
23654,Die Walküre,1997-04-28
23655,Madama Butterfly,1997-04-29
23656,Siegfried,1997-04-30
23657,Fedora,1997-05-01
23658,Madama Butterfly,1997-05-02
23659,Rusalka,1997-05-03
23660,Götterdämmerung,1997-05-03
23661,Das Rheingold,1997-05-05
23662,Die Walküre,1997-05-06
23663,Rusalka,1997-05-07
23664,Siegfried,1997-05-08
23665,Gala Performance,1997-05-09
23666,Rusalka,1997-05-10
23667,Götterdämmerung,1997-05-10
23668,Cavalleria Rusticana,1997-05-24
23669,Tosca,1997-05-25
23670,Carmen,1997-05-28
23671,Tosca,1997-05-29
23672,Cavalleria Rusticana,1997-05-30
23673,Carmen,1997-05-31
23674,Tosca,1997-06-01
23675,Così Fan Tutte,1997-06-03
23676,Cavalleria Rusticana,1997-06-04
23677,Carmen,1997-06-05
23678,Così Fan Tutte,1997-06-06
23679,Cavalleria Rusticana,1997-06-07
23680,Tosca,1997-06-08
23681,Così Fan Tutte,1997-06-09
23682,"The MET Orchestra
Verdi Requiem Mass",1997-06-11
23683,Così Fan Tutte,1997-06-12
23684,"The MET Orchestra
La Damnation de Faust",1997-06-13
23685,Tosca,1997-06-14
23686,Carmen,1997-06-19
23687,Cavalleria Rusticana,1997-06-20
23688,Carmen,1997-06-21
23689,Carmen,1997-06-24
23690,Cavalleria Rusticana,1997-06-25
23691,Carmen,1997-06-27
23692,Cavalleria Rusticana,1997-06-28
23693,Carmen,1997-06-30
23694,Cavalleria Rusticana,1997-07-01
23695,Carmen,1997-07-03
23696,Cavalleria Rusticana,1997-07-05
23697,Carmen,1997-09-22
23698,Manon,1997-09-23
23699,Ariadne auf Naxos,1997-09-24
23700,Carmen,1997-09-25
23701,Manon,1997-09-26
23702,Ariadne auf Naxos,1997-09-27
23703,Carmen,1997-09-27
23704,Turandot,1997-09-29
23705,Carmen,1997-09-30
23706,Manon,1997-10-01
23707,Ariadne auf Naxos,1997-10-02
23708,Carmen,1997-10-03
23709,Turandot,1997-10-04
23710,Manon,1997-10-04
23711,Ariadne auf Naxos,1997-10-06
23712,Turandot,1997-10-07
23713,Manon,1997-10-08
23714,Carmen,1997-10-09
23715,Ariadne auf Naxos,1997-10-10
23716,Manon,1997-10-11
23717,Turandot,1997-10-11
23718,Ariadne auf Naxos,1997-10-13
23719,Turandot,1997-10-14
23720,Manon,1997-10-15
23721,La Cenerentola,1997-10-16
23722,Ariadne auf Naxos,1997-10-17
23723,Manon,1997-10-18
23724,Turandot,1997-10-18
23725,La Cenerentola,1997-10-20
23726,Carmen,1997-10-21
23727,Il Barbiere di Siviglia,1997-10-22
23728,Turandot,1997-10-23
23729,La Cenerentola,1997-10-24
23730,Il Barbiere di Siviglia,1997-10-25
23731,Carmen,1997-10-25
23732,La Cenerentola,1997-10-27
23733,Il Barbiere di Siviglia,1997-10-28
23734,Carmen,1997-10-29
23735,Tannhäuser,1997-10-30
23736,La Cenerentola,1997-10-31
23737,Il Barbiere di Siviglia,1997-11-01
23738,Carmen,1997-11-01
23739,La Cenerentola,1997-11-03
23740,Tannhäuser,1997-11-04
23741,Don Giovanni,1997-11-05
23742,Il Barbiere di Siviglia,1997-11-06
23743,La Cenerentola,1997-11-07
23744,Tannhäuser,1997-11-08
23745,Don Giovanni,1997-11-08
23746,The MET Orchestra,1997-11-09
23747,Il Barbiere di Siviglia,1997-11-10
23748,Don Giovanni,1997-11-11
23749,La Cenerentola,1997-11-12
23750,Tannhäuser,1997-11-13
23751,Don Giovanni,1997-11-14
23752,Turandot,1997-11-15
23753,La Cenerentola,1997-11-15
23754,Don Giovanni,1997-11-17
23755,Tannhäuser,1997-11-18
23756,Turandot,1997-11-19
23757,The Rake's Progress,1997-11-20
23758,Don Giovanni,1997-11-21
23759,Tannhäuser,1997-11-22
23760,Turandot,1997-11-22
23761,The Rake's Progress,1997-11-24
23762,Tannhäuser,1997-11-25
23763,La Clemenza di Tito,1997-11-26
23764,The Rake's Progress,1997-11-28
23765,Tannhäuser,1997-11-29
23766,La Clemenza di Tito,1997-11-29
23767,The Rake's Progress,1997-12-01
23768,Turandot,1997-12-02
23769,La Clemenza di Tito,1997-12-03
23770,The Rake's Progress,1997-12-04
23771,Turandot,1997-12-05
23772,La Clemenza di Tito,1997-12-06
23773,The Rake's Progress,1997-12-06
23774,Don Carlo,1997-12-08
23775,Don Giovanni,1997-12-09
23776,Turandot,1997-12-10
23777,The Rake's Progress,1997-12-11
23778,Don Carlo,1997-12-12
23779,Turandot,1997-12-13
23780,Don Giovanni,1997-12-13
23781,Don Carlo,1997-12-15
23782,Don Giovanni,1997-12-16
23783,Il Barbiere di Siviglia,1997-12-17
23784,Don Carlo,1997-12-18
23785,Boris Godunov,1997-12-19
23786,Il Barbiere di Siviglia,1997-12-20
23787,Don Giovanni,1997-12-20
23788,Boris Godunov,1997-12-22
23789,Don Carlo,1997-12-23
23790,Il Barbiere di Siviglia,1997-12-24
23791,Boris Godunov,1997-12-26
23792,Don Carlo,1997-12-27
23793,Il Barbiere di Siviglia,1997-12-27
23794,Peter Grimes,1997-12-29
23795,Boris Godunov,1997-12-30
23796,Il Barbiere di Siviglia,1997-12-31
23797,Don Carlo,1998-01-01
23798,Peter Grimes,1998-01-02
23799,Boris Godunov,1998-01-03
23800,Il Barbiere di Siviglia,1998-01-03
23801,Peter Grimes,1998-01-05
23802,Boris Godunov,1998-01-06
23803,Peter Grimes,1998-01-07
23804,Il Barbiere di Siviglia,1998-01-08
23805,Capriccio,1998-01-09
23806,Peter Grimes,1998-01-10
23807,Boris Godunov,1998-01-10
23808,Capriccio,1998-01-12
23809,The Rake's Progress,1998-01-13
23810,Il Trovatore,1998-01-14
23811,La Cenerentola,1998-01-15
23812,Capriccio,1998-01-16
23813,The Rake's Progress,1998-01-17
23814,Il Trovatore,1998-01-17
23815,L'Elisir d'Amore,1998-01-19
23816,La Cenerentola,1998-01-20
23817,Capriccio,1998-01-21
23818,Il Trovatore,1998-01-22
23819,L'Elisir d'Amore,1998-01-23
23820,La Cenerentola,1998-01-24
23821,Die Zauberflöte,1998-01-24
23822,Gala Concert,1998-01-25
23823,Capriccio,1998-01-26
23824,Il Trovatore,1998-01-27
23825,Die Zauberflöte,1998-01-28
23826,L'Elisir d'Amore,1998-01-29
23827,Les Contes d'Hoffmann,1998-01-30
23828,Capriccio,1998-01-31
23829,Il Trovatore,1998-01-31
23830,Die Zauberflöte,1998-02-02
23831,L'Elisir d'Amore,1998-02-03
23832,Les Contes d'Hoffmann,1998-02-04
23833,Il Trovatore,1998-02-05
23834,Die Zauberflöte,1998-02-06
23835,Les Contes d'Hoffmann,1998-02-07
23836,L'Elisir d'Amore,1998-02-07
23837,Die Zauberflöte,1998-02-09
23838,Il Trovatore,1998-02-10
23839,Les Contes d'Hoffmann,1998-02-11
23840,Die Zauberflöte,1998-02-12
23841,Samson et Dalila,1998-02-13
23842,Il Trovatore,1998-02-14
23843,Les Contes d'Hoffmann,1998-02-14
23844,Samson et Dalila,1998-02-16
23845,Il Trovatore,1998-02-17
23846,Die Zauberflöte,1998-02-18
23847,Les Contes d'Hoffmann,1998-02-19
23848,Madama Butterfly,1998-02-20
23849,Die Zauberflöte,1998-02-21
23850,Samson et Dalila,1998-02-21
23851,The MET Orchestra,1998-02-22
23852,Les Contes d'Hoffmann,1998-02-23
23853,Madama Butterfly,1998-02-24
23854,Samson et Dalila,1998-02-25
23855,Die Zauberflöte,1998-02-26
23856,Madama Butterfly,1998-02-27
23857,Samson et Dalila,1998-02-28
23858,Les Contes d'Hoffmann,1998-02-28
23859,The MET Chamber Ensemble,1998-03-01
23860,Madama Butterfly,1998-03-02
23861,Les Contes d'Hoffmann,1998-03-03
23862,Samson et Dalila,1998-03-04
23863,L'Elisir d'Amore,1998-03-05
23864,Les Contes d'Hoffmann,1998-03-06
23865,Madama Butterfly,1998-03-07
23866,Samson et Dalila,1998-03-07
23867,Lohengrin,1998-03-09
23868,Samson et Dalila,1998-03-10
23869,L'Elisir d'Amore,1998-03-11
23870,Madama Butterfly,1998-03-12
23871,Lohengrin,1998-03-13
23872,L'Elisir d'Amore,1998-03-14
23873,Samson et Dalila,1998-03-14
23874,Roméo et Juliette,1998-03-16
23875,Lohengrin,1998-03-17
23876,L'Elisir d'Amore,1998-03-18
23877,Madama Butterfly,1998-03-19
23878,Roméo et Juliette,1998-03-20
23879,Lohengrin,1998-03-21
23880,L'Elisir d'Amore,1998-03-21
23881,Stiffelio,1998-03-23
23882,Roméo et Juliette,1998-03-24
23883,Lohengrin,1998-03-25
23884,L'Elisir d'Amore,1998-03-26
23885,Stiffelio,1998-03-27
23886,Roméo et Juliette,1998-03-28
23887,Lohengrin,1998-03-28
23888,Madama Butterfly,1998-03-30
23889,Stiffelio,1998-03-31
23890,Roméo et Juliette,1998-04-01
23891,Lohengrin,1998-04-02
23892,Madama Butterfly,1998-04-03
23893,Stiffelio,1998-04-04
23894,Roméo et Juliette,1998-04-04
23895,National Council Winners Concert,1998-04-05
23896,Die Meistersinger von Nürnberg,1998-04-06
23897,Stiffelio,1998-04-07
23898,Roméo et Juliette,1998-04-08
23899,Madama Butterfly,1998-04-09
23900,Stiffelio,1998-04-10
23901,Die Meistersinger von Nürnberg,1998-04-11
23902,The Makropulos Case,1998-04-11
23903,The Makropulos Case,1998-04-13
23904,Madama Butterfly,1998-04-14
23905,Die Meistersinger von Nürnberg,1998-04-15
23906,The Makropulos Case,1998-04-16
23907,Madama Butterfly,1998-04-17
23908,The Makropulos Case,1998-04-18
23909,Die Meistersinger von Nürnberg,1998-04-18
23910,The MET Orchestra,1998-05-07
23911,The MET Orchestra,1998-05-08
23912,The MET Orchestra,1998-05-10
23913,The MET Orchestra,1998-05-12
23914,The MET Orchestra,1998-05-13
23915,The MET Orchestra,1998-05-16
23916,The MET Orchestra,1998-05-17
23917,The MET Orchestra,1998-05-18
23918,The MET Orchestra,1998-05-20
23919,The MET Orchestra,1998-05-21
23920,Il Trovatore,1998-06-16
23921,Cancelled Performance,1998-06-17
23922,Il Trovatore,1998-06-19
23923,Il Barbiere di Siviglia,1998-06-20
23924,Cancelled Performance,1998-06-23
23925,Il Trovatore,1998-06-24
23926,Il Barbiere di Siviglia,1998-06-26
23927,Il Trovatore,1998-06-27
23928,Il Barbiere di Siviglia,1998-06-29
23929,Cancelled Performance,1998-06-30
23930,Il Trovatore,1998-07-01
23931,Il Barbiere di Siviglia,1998-07-02
23932,Il Trovatore,1998-07-03
23933,Samson et Dalila,1998-09-28
23934,Aida,1998-09-29
23935,Lohengrin,1998-09-30
23936,Samson et Dalila,1998-10-01
23937,Tosca,1998-10-02
23938,Lohengrin,1998-10-03
23939,Aida,1998-10-03
23940,Samson et Dalila,1998-10-05
23941,Lohengrin,1998-10-06
23942,Tosca,1998-10-07
23943,Samson et Dalila,1998-10-08
23944,Aida,1998-10-09
23945,Lohengrin,1998-10-10
23946,Tosca,1998-10-10
23947,The MET Chamber Ensemble,1998-10-11
23948,Carmen,1998-10-12
23949,Samson et Dalila,1998-10-13
23950,Lohengrin,1998-10-14
